# a Fx[N] Fy[N] Fz[N] Nx[Nm] Ny[Nm] Nz[Nm]
2 -1.82664e-15 5.50465e-29 1.04407e-13 4.17275e-36 3.45682e-23 6.68663e-37
2.0005 -2.83042e-15 5.80294e-29 1.03695e-13 6.02605e-36 3.42846e-23 -4.65522e-36
2.001 -3.82563e-15 4.57169e-29 1.03013e-13 -7.65788e-36 3.4021e-23 9.81298e-37
2.0015 -4.8141e-15 3.68982e-29 1.02361e-13 -1.84015e-36 3.37784e-23 -4.37475e-36
2.002 -5.79787e-15 5.07799e-29 1.01742e-13 -7.15673e-37 3.35588e-23 -1.26472e-35
2.0025 -6.77921e-15 2.93292e-29 1.01157e-13 -1.4421e-35 3.33645e-23 3.47912e-37
2.003 -7.76067e-15 4.48338e-29 1.00612e-13 2.13359e-37 3.31991e-23 -7.97817e-36
2.0035 -8.74508e-15 3.89331e-29 1.0011e-13 9.96033e-36 3.30675e-23 -9.72413e-36
2.004 -9.73557e-15 4.22985e-29 9.96608e-14 -2.87742e-36 3.29769e-23 1.36786e-36
2.0045 -1.07354e-14 3.37557e-29 9.92746e-14 1.17077e-36 3.29373e-23 4.17775e-36
2.005 -1.17476e-14 3.50174e-29 9.89681e-14 -9.45387e-36 3.29634e-23 4.39443e-36
2.0055 -1.27742e-14 4.24592e-29 9.87652e-14 3.4279e-36 3.3076e-23 -5.47089e-36
2.006 -1.38138e-14 4.43849e-29 9.87004e-14 -3.95018e-36 3.33056e-23 2.35629e-38
2.0065 -1.48573e-14 4.17903e-29 9.88234e-14 4.33716e-36 3.36956e-23 4.85905e-37
2.007 -1.58775e-14 4.17242e-29 9.92017e-14 1.20461e-36 3.43043e-23 -5.85382e-36
2.0075 -1.68101e-14 3.43596e-29 9.99138e-14 2.61657e-36 3.51988e-23 -5.60485e-36
2.008 -1.75228e-14 4.3186e-29 1.01008e-13 2.74327e-36 3.64175e-23 -1.76085e-36
2.0085 -1.77958e-14 2.85781e-29 1.02381e-13 4.24666e-37 3.78637e-23 4.05656e-36
2.009 -1.74087e-14 2.968e-29 1.03582e-13 -9.12498e-37 3.91354e-23 -1.60873e-35
2.0095 -1.64287e-14 3.13412e-29 1.03844e-13 5.26833e-36 3.95635e-23 -3.4275e-36
2.01 -1.53838e-14 3.65809e-29 1.02746e-13 1.23895e-37 3.87942e-23 -3.40924e-36
2.0105 -1.48248e-14 2.01983e-29 1.00723e-13 2.37679e-36 3.72245e-23 -9.66713e-38
2.011 -1.48726e-14 3.73793e-29 9.8517e-14 -8.7993e-37 3.55089e-23 -8.80125e-37
2.0115 -1.53528e-14 3.15719e-29 9.65597e-14 4.10426e-36 3.40197e-23 -1.15848e-36
2.012 -1.60668e-14 2.37496e-29 9.49534e-14 -6.00981e-38 3.28412e-23 9.9714e-37
